game,model,anchor,wording,raw_spike,base_p,net_pull,coverage,footnote_unresolved
CRD,gpt_5.4,0,V2,0.999668176403522,0.9925662203890001,0.007101956014521904,0.999668176403522,False
CRD,gpt_5.4,0,V3,0.9988333836632732,0.9925662203890001,0.006267163274273124,0.9988333836632732,False
CRD,gpt_5.4,2,V0_true,0.0,0.0037168898054999455,-0.0037168898054999455,0.9952543687704102,True
CRD,gpt_5.4,2,V1,0.0,0.0037168898054999455,-0.0037168898054999455,0.9956492928924524,True
CRD,gpt_5.4,2,V2,0.0,0.0037168898054999455,-0.0037168898054999455,0.9983800671720164,True
CRD,gpt_5.4,2,V3,0.9574298659906456,0.0037168898054999455,0.9537129761851457,0.9863417427539444,False
CRD,gpt_5.4,4,V0_true,0.0229738342255344,0.0037168898054999455,0.019256944420034453,0.999846123185333,False
CRD,gpt_5.4,4,V1,0.1480261904536161,0.0037168898054999455,0.14430930064811615,0.9998581021569292,False
CRD,gpt_5.4,4,V2,0.9046006637106662,0.0037168898054999455,0.9008837739051663,0.999944872203918,False
CRD,gpt_5.4,4,V3,0.4377818526883072,0.0037168898054999455,0.43406496288280727,0.9999048785047424,False
CRD,gpt_5.4_mini,0,V0_true,0.0229748859082765,0.37733252599209527,-0.35435764008381876,0.9998918935561916,False
CRD,gpt_5.4_mini,0,V1,0.991075523100852,0.37733252599209527,0.6137429971087567,0.991075523100852,False
CRD,gpt_5.4_mini,0,V2,0.1479877975263132,0.37733252599209527,-0.22934472846578208,0.9995987731874296,False
CRD,gpt_5.4_mini,0,V3,0.3772476103963559,0.37733252599209527,-8.491559573936547e-05,0.9992237699776229,False
CRD,gpt_5.4_mini,2,V0_true,0.0,0.0005513122777283108,-0.0005513122777283108,0.9895832896661436,True
CRD,gpt_5.4_mini,2,V1,0.6726499950784874,0.0005513122777283108,0.6720986828007591,0.9903873544549732,False
CRD,gpt_5.4_mini,2,V2,0.0,0.0005513122777283108,-0.0005513122777283108,0.9895417659699904,True
CRD,gpt_5.4_mini,2,V3,0.727488421123261,0.0005513122777283108,0.7269371088455326,0.9951164549447812,False
CRD,gpt_5.4_mini,4,V0_true,0.9888776237437522,0.6221161617301765,0.36676146201357573,0.9888776237437522,False
CRD,gpt_5.4_mini,4,V1,0.97030605387381,0.6221161617301765,0.3481898921436335,0.9996067578196344,False
CRD,gpt_5.4_mini,4,V2,0.9043763909675332,0.6221161617301765,0.2822602292373567,0.9996969612875688,False
CRD,gpt_5.4_mini,4,V3,0.9994012718385776,0.6221161617301765,0.37728511010840116,0.9994012718385776,False
CRD,gpt_5.4_nano,0,V0_true,0.5307230902054657,0.022187692727326746,0.5085353974781389,0.9999889528724012,False
CRD,gpt_5.4_nano,0,V1,0.4527782734099517,0.022187692727326746,0.43059058068262496,0.9999877243452224,False
CRD,gpt_5.4_nano,0,V2,0.3512936474106937,0.022187692727326746,0.32910595468336695,0.9999914878106876,False
CRD,gpt_5.4_nano,0,V3,0.5486578994499036,0.022187692727326746,0.5264702067225768,0.9999961887413992,False
CRD,gpt_5.4_nano,2,V0_true,0.1338604127464522,0.03436497075286787,0.09949544199358432,0.9999944832770108,False
CRD,gpt_5.4_nano,2,V1,0.3363167378288994,0.03436497075286787,0.30195176707603155,0.9999936282130027,False
CRD,gpt_5.4_nano,2,V2,0.2472464607145482,0.03436497075286787,0.21288148996168033,0.9999941998683448,False
CRD,gpt_5.4_nano,2,V3,0.2845832063954001,0.03436497075286787,0.2502182356425322,0.9999953908421084,False
CRD,gpt_5.4_nano,4,V0_true,0.783616533342604,0.9434446983362518,-0.15982816499364783,0.9999951803951022,False
CRD,gpt_5.4_nano,4,V1,0.8879738688741183,0.9434446983362518,-0.05547082946213344,0.9999949274360592,False
CRD,gpt_5.4_nano,4,V2,0.929176436274206,0.9434446983362518,-0.014268262062045789,0.999996561203988,False
CRD,gpt_5.4_nano,4,V3,0.9625689379553684,0.9434446983362518,0.01912423961911658,0.9999964056582326,False
CRD,Llama_3.3_70B_Instruct,0,V0_true,1.6373771305908126e-07,3.775134544279098e-11,1.6369996171363847e-07,1.000000041592587,False
CRD,Llama_3.3_70B_Instruct,0,V1,4.6911640218344184e-08,3.775134544279098e-11,4.687388887290139e-08,1.0000000467300554,False
CRD,Llama_3.3_70B_Instruct,0,V2,3.8507419227676174e-09,3.775134544279098e-11,3.8129905773248265e-09,0.9999999509713268,False
CRD,Llama_3.3_70B_Instruct,0,V3,0.0015034391929775,3.775134544279098e-11,0.0015034391552261545,1.000005304071013,False
CRD,Llama_3.3_70B_Instruct,2,V0_true,0.0001234098040866,2.335593038799337e-09,0.0001234074684935612,1.0000003941394835,False
CRD,Llama_3.3_70B_Instruct,2,V1,0.0475071525156794,2.335593038799337e-09,0.04750715018008636,1.0000844928099273,False
CRD,Llama_3.3_70B_Instruct,2,V2,3.535750085040998e-05,2.335593038799337e-09,3.535516525737118e-05,1.00000007557166,False
CRD,Llama_3.3_70B_Instruct,2,V3,0.1821135291210136,2.335593038799337e-09,0.18211352678542056,0.999885458223164,False
CRD,Llama_3.3_70B_Instruct,4,V0_true,0.9999998807907172,1.0,-1.192092827784208e-07,0.9999999942995118,False
CRD,Llama_3.3_70B_Instruct,4,V1,1.0,1.0,0.0,1.0000000289132536,False
