1,2,3,4,5,6,svo,role,count
5,8,8,8,0,0,16.41723283043478,A,1
6,3,7,1,5,4,31.16514684334127,A,1
6,8,8,0,0,8,48.96152688251023,B,1
6,8,8,3,0,8,41.653181358259786,B,1
6,8,8,4,0,7,38.022381509168305,B,1
6,8,8,5,0,8,36.38435181583588,A,1
8,0,8,0,7,0,25.520712531575416,B,1
8,7,7,6,3,8,32.850908392558644,A,1
4,8,8,4,0,6,32.562865459841696,B,1
8,7,8,3,0,8,45.51308281751046,B,1
8,8,8,0,0,8,52.907162702958466,B,1
8,8,8,2,4,8,42.25629502377653,B,1
8,8,8,4,0,8,43.29527168099274,A,1
8,8,8,8,0,0,22.520565602896895,A,1
8,8,8,8,0,0,22.520565602896895,B,1
8,8,8,8,0,7,31.138972436978847,B,1
8,8,8,8,8,0,4.1849161251184155,B,1
5,8,8,4,0,8,36.86989764584402,B,1
5,8,8,3,0,8,39.47245984834383,A,1
5,8,8,3,0,6,37.20439797938408,A,1
5,8,8,2,0,8,42.039063865836255,A,1
4,8,8,4,0,7,33.82208521749395,A,1
4,8,8,4,1,6,30.712827715158852,A,1
4,8,8,4,1,7,32.005383208083494,B,1
4,8,8,4,1,8,33.084852928734975,A,1
4,8,8,4,4,0,17.705621858049497,A,1
4,8,8,5,0,4,27.64597536373868,A,1
4,1,8,8,8,0,-10.699343374304169,A,1
4,8,8,5,8,6,13.116436125391475,A,1
4,8,8,6,0,8,29.384157125951287,B,1
4,8,8,7,0,3,20.897765498838854,B,1
4,8,8,8,0,0,14.62087398863166,A,1
5,0,0,2,8,5,24.038934265458433,A,1
5,2,7,4,2,8,30.196019843729513,A,1
5,3,7,3,0,7,36.45092317958131,A,1
5,6,5,6,3,7,25.691327065110816,A,1
5,7,8,5,2,4,25.18746227722821,A,1
5,8,6,2,0,8,44.16484370777911,A,1
4,3,5,4,0,5,30.9174382078765,A,1
3,8,8,4,0,7,31.855132382449256,B,1
4,1,2,4,1,8,34.43198579099067,B,1
0,8,8,8,1,1,6.762389674939283,B,1
0,8,8,5,0,2,17.709724523862754,A,1
0,8,8,5,0,6,21.92958775017535,A,1
0,8,8,5,0,7,23.168387153497488,B,1
0,8,8,5,0,8,24.196252587791253,A,1
0,8,8,6,4,0,4.8792737830067265,B,1
0,8,8,7,0,0,10.385176986776674,A,1
0,8,8,7,0,0,10.385176986776674,B,1
0,8,8,7,0,8,18.94326306125152,B,1
0,8,8,7,4,3,5.594797459438283,B,1
1,0,3,3,1,0,17.25094388478499,A,1
0,8,8,4,0,8,26.87253899165576,A,1
1,0,6,8,0,0,2.544804379813092,B,1
1,0,8,8,0,0,1.4688007143858246,B,1
1,2,8,7,0,0,6.340191745909913,A,1
1,7,7,7,0,8,20.77996505469652,B,1
1,8,8,5,0,2,19.46586700835242,B,1
1,8,8,5,2,8,22.380135051959584,A,1
1,8,8,7,8,0,-4.201936358159632,A,1
1,8,8,8,0,0,9.35034362842378,A,1
2,3,4,8,3,8,12.017251842564464,B,1
0,8,8,4,0,8,26.87253899165576,B,1
0,8,8,4,0,0,18.14557865948141,B,1
2,4,7,7,4,6,9.162347045721711,B,1
0,4,8,5,0,7,20.045249425421,A,1
0,0,8,8,0,8,8.841814560191676,B,1
0,0,8,8,8,8,-8.841814560191676,B,1
0,2,3,8,1,1,3.381727324276355,B,1
0,2,6,4,0,0,14.406685156436875,A,1
0,2,8,3,0,8,25.10774294664457,B,1
0,2,8,6,0,0,7.275004957889255,B,1
0,2,8,7,0,7,12.66236406285744,B,1
0,2,8,8,6,8,-2.0007856166685816,A,1
0,4,0,5,0,4,23.27021020073764,B,1
0,5,8,3,0,7,26.3504612459486,A,1
0,8,8,3,0,8,29.43256844631617,B,1
0,7,8,8,8,2,-6.869992308214259,A,1
0,8,0,0,0,0,36.11934084947976,B,1
0,8,0,4,0,0,24.613845400419173,A,1
0,8,5,1,0,0,28.59143084583686,B,1
0,8,5,7,1,6,16.907423380709087,A,1
0,8,7,3,0,8,30.289719634089007,B,1
0,8,8,0,0,3,31.8607580726367,B,1
0,8,8,0,4,0,21.12471914607249,B,1
0,8,8,3,0,8,29.43256844631617,A,1
2,3,8,5,0,7,23.16533701795472,B,1
2,4,8,7,0,0,10.261374717234384,A,1
4,0,8,4,1,8,27.187806864284312,A,1
3,8,8,3,4,8,28.266405782404103,A,1
3,6,7,7,1,7,20.764068401273835,A,1
