extraction1,extraction2,extraction3,extraction4,extraction5,extraction6,extraction7,extraction8,extraction9,extraction10,Treatment,count
23,10,13,13,16,15,30,21,27,30,Self-serving,1
23,15,23,8,13,18,29,18,15,15,Self-serving,1
23,15,23,25,20,24,10,20,29,23,Self-serving,1
23,16,20,20,28,16,16,16,15,16,Self-serving,1
23,17,17,18,10,14,12,10,12,13,Self-serving,1
23,23,23,30,30,30,30,30,30,30,Self-serving,1
23,23,23,30,30,30,30,30,30,1,Self-serving,1
23,23,23,23,23,30,1,1,6,30,Self-serving,1
23,23,23,23,23,23,23,1,17,26,Self-serving,1
23,23,23,23,23,22,22,21,23,20,Self-serving,1
23,23,23,23,23,15,19,18,15,11,Self-serving,1
23,23,23,23,23,10,30,30,25,30,Self-serving,1
23,23,23,23,23,10,9,30,30,30,Self-serving,1
23,23,23,23,23,6,7,8,9,10,Self-serving,1
23,23,23,23,18,18,15,14,14,16,Self-serving,1
23,23,23,15,15,15,16,23,23,23,Self-serving,1
23,23,10,30,15,30,30,30,30,30,Self-serving,1
23,23,10,15,20,20,20,20,15,15,Self-serving,1
23,23,10,15,13,14,16,12,12,14,Control,1
23,21,25,15,23,15,22,24,22,23,Self-serving,1
23,19,25,21,19,15,15,16,14,16,Self-serving,1
23,19,17,19,23,24,20,20,18,18,Self-serving,1
23,19,13,16,19,27,20,8,19,15,Self-serving,1
23,18,22,23,23,19,10,25,18,12,Self-serving,1
23,18,14,26,19,18,12,17,18,20,Self-serving,1
23,17,29,30,2,12,11,9,13,17,Self-serving,1
15,15,17,15,17,15,17,17,20,17,Self-serving,1
15,15,15,20,19,18,18,16,19,20,Pro-social,1
15,15,15,15,15,15,15,20,15,30,Self-serving,1
10,15,10,15,15,10,10,10,10,20,Pro-social,1
10,15,20,20,15,30,10,15,15,13,Control,1
10,15,20,15,10,14,15,10,5,18,Pro-social,1
10,15,17,18,16,15,20,22,24,18,Control,1
10,15,16,13,20,19,17,15,16,16,Control,1
10,15,15,15,15,15,15,15,30,10,Control,1
10,15,15,13,15,17,14,14,14,14,Control,1
10,15,15,10,9,9,9,10,10,10,Pro-social,1
10,15,12,15,10,15,12,15,14,20,Pro-social,1
10,15,12,12,18,20,25,8,15,15,Control,1
10,15,12,5,5,5,5,5,5,5,Self-serving,1
10,15,7,16,30,20,13,28,10,19,Control,1
10,15,23,4,4,30,30,4,8,16,Self-serving,1
10,15,3,2,10,7,8,5,4,19,Control,1
10,14,8,12,14,10,14,4,12,20,Self-serving,1
10,13,10,12,15,18,12,6,11,15,Pro-social,1
10,12,24,30,15,20,5,26,10,13,Control,1
10,12,18,13,17,18,15,15,15,15,Control,1
10,11,26,20,20,12,20,15,30,17,Pro-social,1
10,11,11,10,15,30,20,15,20,15,Pro-social,1
10,10,15,15,15,17,20,20,20,15,Control,1
10,10,15,10,10,5,5,10,10,9,Self-serving,1
10,10,14,15,15,16,16,12,12,10,Control,1
10,15,20,25,22,20,15,20,19,20,Control,1
10,16,13,13,22,9,8,14,12,10,Pro-social,1
11,11,17,30,14,17,1,18,19,11,Pro-social,1
11,11,11,11,11,23,21,19,11,11,Pro-social,1
11,11,15,11,7,10,10,10,15,15,Pro-social,1
11,11,14,16,13,16,29,13,20,18,Pro-social,1
11,11,14,11,12,18,17,18,18,18,Pro-social,1
11,11,14,11,11,12,14,14,16,20,Pro-social,1
11,11,12,15,18,15,15,15,15,15,Pro-social,1
11,11,12,11,11,14,13,5,14,15,Pro-social,1
11,11,11,15,15,15,15,15,15,15,Self-serving,1
11,11,11,15,11,20,30,20,15,15,Pro-social,1
11,11,11,11,20,10,15,19,19,11,Pro-social,1
11,11,11,11,11,30,30,20,20,20,Pro-social,1
11,11,11,11,11,20,30,20,20,20,Pro-social,1
10,17,30,30,30,30,30,30,30,30,Control,1
11,11,11,11,11,10,11,10,10,10,Pro-social,1
11,10,25,11,30,2,7,8,9,7,Pro-social,1
11,10,20,20,15,30,17,21,15,25,Pro-social,1
